APLZ,AGKZ,ASTR,ANRV,ANRB,ASTG,ATOP,AORT,APOL
4040,40101,Jägerstraße,18,,,,Linz,Magistrat Linz
4040,40101,Leonfeldnerstr.,207,,,,Linz,Linz
4690,41738,Stadtplatz,28,,,,Schwanenstadt,Schwanenstadt
5101,50303,Bräumühlweg,5,,,,BERGHEIM,Gemeinde Bergheim
5760,50619,Lofererstraße,40,,,,Saalfelden am Steinernen Meer,Saalfelden am Steinernen Meer
1010,90001,Schottenbastei,10,16,,,Wien,Wien
1010,90101,Marc Aurel Straße,2b,2b,-,-,Wien,Wien
1010,90101,Stubenring 1,,,,,Wien,"Wien  1.,Innere Stadt"
1010,90001,Am Graben,14,,,,,Wien
1010,90101,Wallnerstrasse,4,,,,Wien,Stadt Wien Buchhaltungsabt.33
1020,90101,Hammer-Purgstall-Gasse,6,,,,Wien,Stadt Wien Buchhaltungsabt.33
1020,90101,Lassallestraße 7b,,,,,Wien,"Wien  1.,Innere Stadt"
1010,90101,Seitenstettengasse,5,,,,Wien,Wien
1010,90101,Seilerstätte,30,,,,Wien,Stadt Wien Buchhaltungsabt.33
1010,90001,Wollzeile,36,,,,,Wien
1010,90001,Kärtnerring,11,13,,51,,Wien
1030,00000,Invalidenstrasse,13,13,-,-,Wien,Wien
1030,00000,,13,13,-,-,Wien,Wien
1010,90001,Heinrichsgasse,4,,,,"Wien,Innere Stadt",Wien
1010,90001,Biberstraße,5,,,,,Wien
1010,90001,Burgring,5,,,,,Wien
1010,90001,Gonzagagasse,11,,,,,Wien
1010,90001,Gotramgasse,6,,,,Wien,Wien
1010,90001,Graben,28,,,,Wien,Wien
